method_key,method,category,trials,mean_return,near_best_known_return_eps_count,near_best_known_return_eps_rate,near_best_known_return_eps_label,near_best_known_return_eps_seed_min,near_best_known_return_eps_seed_max,task_success_count,task_success_rate,task_success_label,task_success_seed_min,task_success_seed_max,beats_best_known_return_count,beats_best_known_return_rate,beats_best_known_return_label,beats_best_known_return_seed_min,beats_best_known_return_seed_max
mixed,Automatic-priority DAgger + local FastSACN8 Q-search,RL + supervised,12505,-138.64975332422262,12496,0.999280287884846,Near reference,0.9972011195521792,1.0,11737,0.9385845661735306,Task success,0.9364254298280688,0.9412235105957617,1570,0.1255497800879648,Strictly beats reference,0.1015593762495002,0.1675329868052779
mixed_uniform,Uniform-follow-up DAgger + local FastSACN8 Q-search,RL + supervised,12505,-138.73854050975197,12486,0.9984806077568973,Near reference,0.9932027189124351,1.0,11735,0.9384246301479409,Task success,0.9356257497001199,0.9408236705317873,1459,0.1166733306677329,Strictly beats reference,0.08396641343462614,0.16153538584566174
supervised,Supervised actor from mixed ablation,Supervised,12505,-138.79119976321638,12470,0.9972011195521792,Near reference,0.9944022391043582,0.9988004798080767,11705,0.9360255897640943,Task success,0.9304278288684527,0.9388244702119153,1813,0.14498200719712115,Strictly beats reference,0.11875249900039984,0.18672530987604957
pure,Pure-RL winner,Pure RL,12505,-140.6206168769089,11832,0.9461815273890444,Near reference,0.9332267093162735,0.9624150339864055,11567,0.9249900039984006,Task success,0.9136345461815274,0.9340263894442223,2303,0.18416633346661335,Strictly beats reference,0.12634946021591364,0.23550579768092764
fastsacn,FastSACN8 50k,Pure RL,12505,-140.88556552206913,11657,0.9321871251499401,Near reference,0.9012395041983207,0.9564174330267893,11619,0.9291483406637345,Task success,0.9192323070771692,0.9384246301479409,905,0.07237105157936825,Strictly beats reference,0.048380647740903636,0.15273890443822472
simba,Plain SimbaV2 100k,Pure RL,12505,-141.63855673119457,11484,0.9183526589364255,Near reference,0.9072371051579369,0.9512195121951219,11437,0.914594162335066,Task success,0.8992403038784487,0.9308276689324271,1066,0.08524590163934426,Strictly beats reference,0.029188324670131948,0.15593762495002
dagger,Clean DAgger 100k,Supervised,12505,-148.41593322123308,10571,0.8453418632546981,Near reference,0.8332666933226709,0.8580567772890844,11007,0.8802079168332667,Task success,0.8688524590163934,0.8888444622151139,799,0.06389444222311076,Strictly beats reference,0.05557776889244302,0.07117153138744502
